дхритараштрах увача  Z царь Дхритараштра сказал
 винашайа  Z для уничтожения
 ча  Z и
 душкритам  Z злодеев
 дхарма  Z законов религии
 самстхапана-артхайа  Z для восстановления
 самбхавами  Z появляюсь
 йуге  Z век
 йуге  Z за веком
джанма  Z рождение
 карма  Z деяние
 ча  Z также
 ме  Z Мое
 дивйам  Z божественное
 эвам  Z так
 йах  Z который
 ветти  Z знает
 таттватах  Z воистину
 тйактва  Z оставив
 дехам  Z тело
 пунах  Z снова
 джанма  Z к рождению
 на  Z не
 эти  Z приходит
 мам  Z ко Мне
 эти  Z приходит
 сах  Z тот
 арджуна  Z о Aрджуна
вита  Z устранены
 рага  Z привязанность
 бхайа  Z и страх
 кродхах  Z те, чей гнев
 мат-майах  Z полностью пребывающие во Мне
 мам  Z Мне
 упашритах  Z целиком предавшиеся
 бахавах  Z многие
 джнана  Z знания
 тапаса  Z подвижничеством
 путах  Z очищенные
 мат-бхавам  Z трансцендентную любовь ко Мне
 агатах  Z обретшие
йе  Z которые
 йатха  Z как
 мам  Z Мне
 прападйанте  Z предаются
 тан  Z тех
 татха  Z так
 эва  Z конечно
 бхаджами  Z вознаграждаю
 ахам  Z Я
 мама  Z Мой
 вартма  Z путь
 анувартанте  Z  следуют
 манушйах  Z люди
 партха  Z о сын Притхи
 сарвашах  Z  во всех отношениях
канкшантах  Z стремящиеся
 карманам  Z кармической деятельности
 сиддхим  Z к совершенству
 йаджанте  Z почитают, совершая жертвоприношения
 иха  Z здесь (в материальном мире)
 деватах  Z полубогов
 кшипрам  Z очень быстро
 хи  Z конечно же
 мануше  Z в человеческом обществе
 локе  Z в этом мире
 сиддхих  Z  успех
 бхавати  Z появляется
 карма-джа  Z порожденный кармической деятельностью
чатух-варнйам  Z четыре сословия
 майа  Z Мной
 сриштам  Z  созданы
 гуна  Z качествам
 карма  Z и деятельности
 вибхагашах  Z  сообразно
 тасйа  Z того
 картарам  Z отца
 апи  Z хотя
 мам  Z Меня
 виддхи  Z знай
 акартарам  Z бездействующего
 авйайам  Z неизменного 
на  Z не
 мам  Z Меня
 кармани  Z любые виды деятельности
 лимпанти  Z оскверняет
 на  Z не
 ме  Z Мое
 карма-пхале  Z в плодах труда
 сприха  Z стремление
 ити  Z таким образом
 мам  Z Меня
 йах  Z который
 абхиджанати  Z постигает
 кармабхих  Z последствиями (такой деятельности)
 на  Z не
 сах  Z тот
 бадхйате  Z опутывается
эвам  Z так
 джнатва  Z постигнув
 критам  Z совершена
 карма  Z  деятельность
 пурваих  Z предшественниками
 апи  Z поистине
 мумукшубхих  Z освобожденными
 куру  Z исполняй
 карма  Z долг
 эваЕ  Z безусловно
 тасмат  Z поэтому
 твам  Z ты
 пурваих  Z предшественниками
 пурва-тарам  Z то, что было очень давно
 критам  Z исполнено
ким  Z что
 карма  Z действие
 ким  Z что
 Акарма  Z бездействие
 ити  Z так
 кавайах  Z разумные люди
 апи  Z даже
 атра  Z здесь
 мохитах  Z зашедшие в тупик
 тат  Z ту
 те  Z тебе
 карма  Z деятельность
 правакшйами  Z объясню
 йат  Z которую
 джнатва  Z  познав
 мокшйасе  Z освобождаешься
 ашубхат  Z от несчастья
карманах  Z деятельности
 хи  Z безусловно
 апи  Z также
 боддхавйам  Z то, что необходимо понять
 боддхавйам  Z то, что необходимо понять
 ча  Z также
 викарманах  Z запрещенной деятельности
 акарманах  Z бездействия
 ча  Z также
 боддхавйам  Z то, что необходимо понять
 гахана  Z труден для понимания
 карманах  Z  деятельности
 гатих  Z ход
кармани  Z в действии
 акарма  Z бездействие
 йах  Z который
 пашйет  Z увидит
 акармани  Z в бездействии
 ча  Z также
 карма  Z  кармическую деятельность
 йах  Z который
 сах  Z тот
 буддхи-манЕ  Z разумный
 манушйешу  Z среди людей
 сах  Z он
 йуктах  Z находящийся на трансцендентном уровне
 критсна-карма-крит  Z занятый разнообразной деятельностью
йасйа  Z которого
 сарве  Z все
 самарамбхах  Z старания
 кама  Z  основанной на стремлении к наслаждениям
 санкалпа  Z целеустремленности
 варджитах  Z лишенные
 джнана  Z совершенного знания
 Агни  Z в огне
 дагдха  Z сгоревшие
 карманам  Z того, чьи действия
 там  Z его
 ахух  Z называют
 пандитам  Z мудреца
 будхах  Z обладающие знанием
тйактва  Z отбросив
 карма-пхала-асангам  Z к плодам своего труда привязанность
 нитйа  Z всегда
 триптах  Z удовлетворенный
 нирашрайах  Z не имеющий прибежища
 кармани  Z в деятельности
 абхиправриттах  Z всегда занятый
 апи  Z хотя
 на  Z не
 эва  Z безусловно
 кинчит  Z что бы ни
 кароти  Z делает
 сах  Z он
нираших  Z не стремящийся к результатам
 йата  Z подчинены
 читта-атма  Z тот, чей ум и разум
 тйакта  Z отвергнуты
 сарва  Z все
 париграхах  Z тот, кем собственнические чувства
 шарирам  Z предназначенную для того, чтобы поддержать душу в теле
 кевалам  Z только
 карма  Z деятельность
 курван  Z совершающий
 на  Z не
 апноти  Z получает
 килбишам  Z результат греха
йадриччха  Z само собой
 лабха  Z тем, что приходит
 сантуштах  Z довольствующийся
 двандва  Z двойственность
 атитах  Z преодолевший
 виматсарах  Z освободившийся от зависти
 самах  Z  невозмутимый
 сиддхау  Z в успехе
 асиддхау  Z в неудаче
 ча  Z и
 критва  Z совершив действие
 апи  Z даже
 на  Z не
 нибадхйате  Z  опутывается
гата-сангасйа  Z того, кто вышел из-под влияния гун материальной природы
 муктасйа  Z освободившегося
 джнана-авастхита  Z  находящееся на трансцендентном уровне
 четасах  Z того, чье знание
 йаджнайа  Z ради удовлетворения Ягьи (Кришны)
 ачаратах  Z  совершаемая
 карма  Z деятельность
 самаграм  Z полностью
 правилийате  Z целиком растворяется
брахма  Z духовное по природе
 арпанам  Z подношение
 брахма  Z  Всевышний
 хавих  Z масло
 брахма  Z духовное
 агнау  Z в огне (жертвоприношения)
 брахмана  Z вечной душой
 хутам  Z принесенное в жертву
 брахма  Z духовное царство
 эва  Z непременно
 тена  Z  им
 гантавйам  Z то, которого необходимо достичь
 брахма  Z духовной
 карма  Z деятельностью
 самадхина  Z с полной поглощенностью
даивам  Z полубогам
 эва  Z таким образом
 апаре  Z другие
 йаджнам  Z жертвоприношение
 йогинах  Z йоги-мистики
 парйупасате  Z усердно поклоняются
 брахма  Z Aбсолютной Истины
 агнау  Z на огонь
 апаре  Z другие
 йаджнам  Z жертву
 йаджнена  Z  жертвоприношением
 эва  Z так
 упаджухвати  Z приносят
шротра-адини  Z слух и прочие
 индрийани  Z чувства
 анйе  Z  другие
 самйама  Z ограничения
 агнишу  Z на огонь
 джухвати  Z  приносят
 шабда-адин  Z звук и прочие
 вишайан  Z объекты, доставляющие наслаждение чувствам
 анйе  Z другие
 индрийа  Z органов чувств
 агнишу  Z на огонь
 джухвати  Z приносят в жертву
сарвани  Z все
 индрийа  Z чувств
 кармани  Z действия
 прана-кармани  Z перемещения жизненного воздуха
 ча  Z также
 апаре  Z  другие
 атма-самйама  Z обуздания ума
 Йога  Z связующего метода
 агнау  Z на огонь
 джухвати  Z приносят
 джнана-дипите  Z в стремлении к самоосознанию
дравйа-йаджнах  Z принесение в жертву материальной собственности
 тапах-йаджнах  Z жертвоприношения, которые выражаются в подвижничестве
 йога-йаджнах  Z жертвоприношения, которые выражаются в занятиях восьмиступенчатой мистической йогой
 татха  Z таким образом
 апаре  Z другие
 свадхйайа  Z жертвоприношения, которые выражаются в изучении Вед
 джнана-йаджнах  Z  жертвоприношения, которые выражаются в усвоении духовного знания
 ча  Z также
 йатайах  Z просвещенные
 самшита-вратах  Z  исполняющие суровые обеты
апане  Z в нисходящем воздушном потоке
 джухвати  Z приносят в жертву
 пранам  Z поток воздуха, выходящий наружу
 пране  Z  в потоке воздуха, выходящем наружу
 апанам  Z нисходящий воздушный поток
 татха  Z а также
 апаре  Z другие
 прана  Z потока воздуха, движущегося наружу
 апана  Z и нисходящего воздушного потока
 гати  Z движения
 руддхва  Z остановив
 прана-айама  Z  транс, который наступает в результате полного прекращения дыхания
 парайанах  Z те, чья цель
 апаре  Z другие
 нийата  Z упорядочено
 ахарах  Z те, чье потребление пищи
 пранан  Z потоки воздуха, движущиеся наружу
 пранешу  Z в потоки воздуха, выходящие наружу
 джухвати  Z приносят в жертву
сарве  Z все
 апи  Z однако (несмотря на внешние различия)
 эте  Z эти
 йаджна-видах  Z те, кому известна цель жертвоприношений
 йаджна-кшапита  Z устранены в результате совершенных жертвоприношений
 калмашах  Z те, чьи грехи
 йаджна-шишта  Z  плодов этих жертвоприношений
 Амрита-бхуджах  Z те, кто изведал нектарный вкус
 йанти  Z достигают
 брахма  Z высшей
 санатанам  Z вечной обители
на  Z не
 айам  Z эта
 локах  Z планета
 асти  Z является
 айаджнасйа  Z того, кто не совершает жертвоприношений
 кутах  Z где
 анйах  Z другая
 куру-Сат-тама  Z о лучший из Куру
эвам  Z таким образом
 баху-видхах  Z разнообразные
 йаджнах  Z жертвоприношения
 витатах  Z распространенные
 брахманах  Z Вед
 мукхе  Z через уста
 карма-джан  Z порожденных деятельностью
 виддхи  Z знай же
 тан  Z их
 сарван  Z всех
 эвам  Z  так
 джнатва  Z познав
 вимокшйасе  Z освободишься
шрейан  Z лучше
 дравйа-майат  Z материальной собственности
 йаджнат  Z принесения в жертву
 джнана-йаджнах  Z жертвоприношение, совершенное в знании
 парантапа  Z о покоритель врагов
 сарвам  Z вся
 карма  Z видов деятельности
 акхилам  Z совокупность
 партха  Z о сын Притхи
 джнане  Z в знании
 парисамапйате  Z завершается
тат  Z то (знание о различных видах жертвоприношений)
 виддхи  Z познай
 пранипатена  Z обращением к духовному учителю
 парипрашнена  Z смиренными вопросами
 севайа  Z служением
 упадекшйанти  Z посвятят
 те  Z тебя
 джнанам  Z в знание
 джнанинах  Z осознавшие себя
 таттва  Z истину
 даршинах  Z те, кто видит
йат  Z которое
 джнатва  Z познав
 на  Z не
 пунах  Z вновь
 мохам  Z в иллюзию
 эвам  Z эту
 йасйаси  Z впадешь
 пандава  Z о сын Панду
 йена  Z которым
 бхутани  Z живые существа
 ашешани  Z  все
 дракшйаси  Z увидишь
 атмани  Z в Высшей Душе
 атха у  Z  иными словами
 майи  Z во Мне
апи  Z даже
 чет  Z если
 аси  Z являешься
 папебхйах  Z из грешников
 сарвебхйах  Z всех
 папа-крит-тамах  Z величайший грешник
 сарвам  Z все эти грехи
 джнана-плавена  Z на корабле духовного знания
 эва  Z конечно
 вриджинам  Z океан страданий
 сантаришйаси  Z пересечешь
йатха  Z как
 эдхамси  Z дрова
 самиддхах  Z ярко горящий
 агних  Z огонь
 бхасма-сат  Z в пепел
 куруте  Z превращает
 арджуна  Z о Aрджуна
 джнана-агних  Z огонь знания
 сарва-кармани  Z  все последствия материальной деятельности
 бхасма-сат  Z в пепел
 куруте  Z превращает
 татха  Z также
на  Z не
 хи  Z безусловно
 джнанена  Z с этим знанием
 садришам  Z сравнимое
 павитрам  Z освященное
 иха  Z в этом мире
 видйате  Z существует
 тат  Z то
 свайам  Z сам
 йога  Z в преданном служении
 самсиддхах  Z достигший зрелости
 калена  Z со временем
 атмани  Z в себе
 виндати  Z испытывает
шраддха-ван  Z человек, обладающий верой
 лабхате  Z обретает
 джнанам  Z знание
 тат-парах  Z стремящийся обрести его
 самйата  Z обузданы
 индрийах  Z тот, чьи чувства
 джнанам  Z знание
 лабдхва  Z получив
 парам  Z трансцендентный
 шантим  Z покой
 ачирена  Z очень скоро
 адхигаччхати  Z обретает
аджнах  Z невежда, не знающий священных писаний
 ча  Z и
 ашраддадханах  Z не верящий словам шастр
 ча  Z и
 самшайа  Z  сомневающийся
 атма  Z человек
 винашйати  Z падает
 на  Z не
 айам  Z этот
 локах  Z мир
 асти  Z существует
 на  Z ни
 парах  Z  следующая (жизнь)
 на  Z ни
 сукхам  Z счастье
 самшайа  Z сомневающегося
 атманах  Z человека
йога  Z благодаря преданному служению (карма-йоге)
 саннйаста  Z отвергнуты
 карманам  Z тот, чьи плоды труда
 джнана  Z  знанием
 санчхинна  Z разрублены
 самшайам  Z тот, чьи сомнения
 атма-вантам  Z постигшего свое истинное «Я»
 на  Z не
 кармани  Z действия
 нибадхнанти  Z связывают
 дхананджайа  Z о завоеватель богатств
тасмат  Z поэтому
 аджнана-самбхутам  Z порожденное невежеством
 хрит-стхам  Z находящееся в сердце
 джнана  Z знания
 асина  Z мечом
 атманах  Z души
 чхиттва  Z разрубив
 энам  Z это
 самшайам  Z сомнение
 йогам  Z в йогу
 атиштха  Z войди
 уттиштха  Z встань (чтобы сражаться)
 бхарата  Z о потомок Бхараты
арджунах увача  Z Aрджуна сказал
 саннйасам  Z отвержение
 карманам  Z действий
 кришна  Z о Кришна
 пунах  Z снова
 йогам  Z преданное служение
 ча  Z также
 шамсаси  Z превозносишь
 йат  Z  которое
 шрейах  Z благотворнее
 этайох  Z из этих двух
 экам  Z  одно
 тат  Z то
 ме  Z мне
 брухи  Z скажи
 су-нишчитам  Z определенно
шри-бхагаван увача  Z Верховный Господь сказал
 саннйасах  Z  отказ от деятельности
 карма-йогах  Z деятельность в преданном служении
 ча  Z и
 нихшрейаса-карау  Z ведущие к освобождению
 убхау  Z оба
 тайох  Z из тех (двух)
 ту  Z же
 карма-саннйасат  Z  отказа от кармической деятельности
 карма-йогах  Z деятельность в преданном служении
 вишишйате  Z считается лучше
джнейах  Z тот, которого следует считать
 сах  Z он
 нитйа  Z  навсегда
 саннйаси  Z отрекшийся
 йах  Z который
 на  Z не
 двешти  Z ненавидит
 на  Z не
 канкшати  Z желает
 нирдвандвах  Z  преодолевший влияние двойственности
 хи  Z безусловно
 маха-бахо  Z о могучерукий
 сукхам  Z счастливо
 бандхат  Z из плена
 прамучйате  Z полностью освобождается
санкхйа  Z аналитическое изучение материального мира
 йогау  Z  и деятельность в преданном служении
 притхак  Z различно
 балах  Z неразумные
 праваданти  Z говорят
 на  Z не
 пандитах  Z  сведущие
 экам  Z к одному
 апи  Z даже
 астхитах  Z пришедший
 самйак  Z полностью
 убхайох  Z обоих
 виндате  Z обретает
 пхалам  Z результат
йат  Z которое
 санкхйаих  Z философией санкхьи
 прапйате  Z  достигается
 стханам  Z место
 тат  Z то
 йогаих  Z преданным служением
 апи  Z также
 гамйате  Z достигается
 экам  Z одно
 санкхйам  Z аналитическое изучение материального мира
 ча  Z и
 йогам  Z деятельность в преданном служении
 ча  Z и
 йах  Z который
 пашйати  Z видит
 сах  Z тот
 пашйати  Z видит
саннйасах  Z жизнь в отречении от мира
 ту  Z но
 маха-бахо  Z  о могучерукий
 духкхам  Z несчастье
 аптум  Z (может) принести
 айогатах  Z лишенного преданного служения
 йога-йуктах  Z тот, кто занят преданным служением
 муних  Z мудрец
 брахма  Z Всевышнего
 на чирена  Z без промедления
 адхигаччхати  Z достигает
йога-йуктах  Z занятый преданным служением
 вишуддха-атма  Z очистившаяся душа
 виджита-атма  Z умеющий владеть собой
 джита-индрийах  Z тот, чьи чувства обузданы
 сарва-бхута  Z  ко всем живым существам
 атма-бхута-атма  Z испытывающий сострадание
 курван апи  Z хотя и действующий
 на  Z не
 липйате  Z опутывается
на  Z не
 эва  Z конечно
 кинчит  Z что-либо
 кароми  Z делаю
 ити  Z так
 йуктах  Z действующий (в божественном сознании)
 манйета  Z станет думать
 таттва-вит  Z тот, кто познал истину
 пашйан  Z видящий
 шринван  Z слышащий
 спришан  Z касающийся
 джигхран  Z ощущающий запахи
 ашнан  Z принимающий пищу
 гаччхан  Z ходящий
 свапан  Z спящий
 швасан  Z дышащий
 пралапан  Z говорящий
 висриджан  Z испускающий
 грихнан  Z принимающий
 унмишан  Z открывающий
 нимишан  Z закрывающий
 апи  Z  хотя
 индрийани  Z чувства
 индрийа-артхешу  Z в деятельности, связанной с чувственными наслаждениями
 вартанте  Z занимаются
 ити  Z так
 дхарайан  Z считающий
брахмани  Z Верховной Личности Бога
 адхайа  Z посвятив
 кармани  Z действия
 сангам  Z привязанность
 тйактва  Z отвергнув
 кароти  Z совершает
 йах  Z который
 липйате  Z затрагивается
 на  Z не
 сах  Z он
 папена  Z грехом
 падма-патрам  Z лист лотоса
 ива  Z как
 амбхаса  Z водой
кайена  Z телом
 манаса  Z умом
 буддхйа  Z разумом
 кевалаих  Z  очищенными
 индрийаих  Z чувствами
 апи  Z даже
 йогинах  Z люди, обладающие сознанием Кришны
 карма  Z деятельность
 курванти  Z осуществляют
 сангам  Z привязанность
 тйактва  Z отвергнув
 атма  Z собственного
 шуддхайе  Z ради очищения  
йуктах  Z тот, кто занимается преданным служением
 карма-пхалам  Z результат всех своих действий
 тйактва  Z отдав
 шантим  Z умиротворение
 апноти  Z обретает
 наиштхиким  Z непоколебимое
 айуктах  Z человек, лишенный сознания Кришны
 кама-карена  Z результатом своего труда, которым он хочет наслаждаться
 пхале  Z к результату
 сактах  Z привязанный
 нибадхйате  Z порабощается
сарва  Z все
 кармани  Z действия
 манаса  Z умом
 саннйасйа  Z  отвергнув
 асте  Z пребывает
 сукхам  Z счастливо
 ваши  Z владеющий собой
 нава-дваре  Z с девятью вратами
 пуре  Z в городе
 дехи  Z обусловленная душа
 на  Z не
 эва  Z безусловно
 курван  Z  делающий
 на  Z не
 карайан  Z становящийся причиной действий
на  Z ни
 картритвам  Z право собственности
 на  Z ни
 кармани  Z  действия
 локасйа  Z людей
 сриджати  Z создает
 прабхух  Z хозяин (города-тела)
 на  Z ни
 карма-пхала  Z с результатами деятельности
 самйогам  Z связь
 свабхавах  Z совокупность гун материальной природы
 ту  Z но
 правартате  Z действует
на  Z не
 адатте  Z принимает
 касйачит  Z чью-либо
 папам  Z  греховную деятельность
 на  Z ни
 ча  Z также
 эва  Z безусловно
 су-критам  Z благочестивую деятельность
 вибхух  Z Верховный Господь
 аджнанена  Z невежеством
 авритам  Z покрытое
 джнанам  Z  знание
 тена  Z тем
 мухйанти  Z впадают в заблуждение
 джантавах  Z живые существа
джнанена  Z знанием
 ту  Z но
 тат  Z то
 аджнанам  Z невежество
 йешам  Z которых
 нашитам  Z рассеяно
 атманах  Z живого существа
 тешам  Z тех
 адитйа-ват  Z подобное восходящему солнцу
 джнанам  Z знание
 пракашайати  Z открывает
 тат парам  Z  сознание Кришны
тат-буддхайах  Z те, чей разум всегда поглощен Всевышним
 тат-атманах  Z те, чей ум всегда сосредоточен на Всевышнем
 тат-ништхах  Z те, кто верит только во Всевышнего
 тат-парайанах  Z те, кто полностью доверил себя Ему
 гаччханти  Z идут
 апунах-авриттим  Z к освобождению
 джнана  Z знанием
 нирдхута  Z устранены
 калмашах  Z те, чьи грехи
видйа  Z ученость
 винайа  Z и благовоспитанность
 сампанне  Z  в том, чье богатство
 брахмане  Z в брахмане
 гави  Z в корове
 хастини  Z в слоне
 шуни  Z в собаке
 ча  Z и
 эва  Z безусловно
 шва-паке  Z в собакоеде (неприкасаемом)
 ча  Z также
 пандитах  Z  мудрецы
 сама-даршинах  Z те, которые видят одинаково
иха  Z здесь (в этой жизни)
 эва  Z несомненно
 таих  Z теми
 джитах  Z побеждено
 саргах  Z рождение и смерть
 йешам  Z которых
 самйе  Z в равновесии
 стхитам  Z находящийся
 манах  Z ум
 нирдошам  Z безупречный
 хи  Z безусловно
 самам  Z уравновешенный
 брахма  Z подобный Всевышнему
 тасмат  Z поэтому
 брахмани  Z  во Всевышнем
 те  Z они
 стхитах  Z пребывающие
на  Z не
 прахришйет  Z будет радоваться
 прийам  Z приятное
 прапйа  Z получив
 на  Z не
 удвиджет  Z огорчится
 прапйа  Z получив
 ча  Z и
 априйам  Z неприятное
 стхира-буддхих  Z твердый разумом
 асаммудхах  Z не подверженный иллюзии
 брахма-вит  Z тот, кто постиг Всевышнего
 брахмани  Z на духовном уровне
 стхитах  Z находящийся
бахйа-спаршешу  Z к внешним, чувственным удовольствиям
 асакта-атма  Z тот, кто не привязан
 виндати  Z испытывает
 атмани  Z в себе
 йат  Z которое
 сукхам  Z счастье
 сах  Z он
 брахма-йога  Z сосредоточением ума на Брахмане
 йукта-атма  Z связанный с истинным «Я»
 сукхам  Z счастье
 акшайам  Z беспредельное
 ашнуте  Z вкушает
йе  Z которые
 хи  Z безусловно
 самспарша-джах  Z порожденные соприкосновением с материальными чувствами
 бхогах  Z удовольствия
 духкха  Z страданий
 йонайах  Z источники
 эва  Z конечно
 те  Z они
 ади  Z начало
 анта  Z конец
 вантах  Z имеющие
 каунтейа  Z о сын Кунти
 на  Z не
 тешу  Z в тех
 рамате  Z испытывает удовольствие
 будхах  Z разумный
шакноти  Z может
 иха эва  Z здесь (в своем нынешнем теле)
 йах  Z который
 содхум  Z терпеть
 прак  Z прежде
 шарира  Z от тела
 вимокшанат  Z освобождения
 кама  Z желанием
 Кродха  Z и гневом
 удбхавам  Z порожденное
 вегам  Z побуждение
 сах  Z тот
 йуктах  Z находящийся в трансе
 сах  Z тот
 сукхи  Z счастливый
 нарах  Z человек
йах  Z который
 антах-сукхах  Z тот, кто обрел счастье в себе самом
 антах-арамах  Z тот, кто черпает наслаждение в себе самом
 татха  Z а также
 антах-джйотих  Z тот, чьи устремления направлены внутрь
 эва  Z безусловно
 йах  Z который
 сах  Z тот
 йоги  Z  Йог-мистик
 брахма-нирванам  Z освобождение (и постижение природы Всевышнего)
 брахма-бхутах  Z осознавший свою духовную природу
 адхигаччхати  Z обретает
лабханте  Z обретают
 брахма-нирванам  Z освобождение (постижение Верховного Брахмана)
 ришайах  Z те, чей взор устремлен внутрь
 кшина-калмашах  Z те, кто очистился от грехов
 чхинна  Z  отсечена
 дваидхах  Z те, кем двойственность
 йата-атманах  Z идущие путем самоосознания
 сарва-бхута  Z всех живых существ
 хите  Z в деятельности на благо
 ратах  Z занятые
кама  Z от желаний
 кродха  Z и от гнева
 вимуктанам  Z тех, кто освободился
 йатинам  Z святых
 йата-четасам  Z тех, чей ум обуздан
 абхитах  Z очень скоро
 брахма-нирванам  Z освобождение (постижение Верховного Брахмана)
 вартате  Z есть
 видита-атманам  Z тех, кто осознал свое истинное «Я»
спаршан  Z объекты чувственного восприятия (такие, как звук)
 критва  Z оставив
 бахих  Z снаружи
 бахйан  Z внешние
 чакшух  Z  зрение
 ча  Z также
 эва  Z безусловно
 антаре  Z между
 бхрувох  Z  бровей
 прана-апанау  Z восходящий и нисходящий потоки воздуха
 самау  Z уравновешенные
 критва  Z зафиксировав
 наса-абхйантара  Z в ноздрях
 чаринау  Z движущиеся
 йата  Z обузданы
 индрийа  Z чувства
 манах  Z ум
 буддхих  Z тот, чей разум
 муних  Z  йог
 мокша  Z освобождение
 парайанах  Z тот, чья цель
 вигата  Z  устранены
 иччха  Z желания
 бхайа  Z страх
 кродхах  Z тот, чей гнев
 йах  Z который
 сада  Z постоянно
 муктах  Z освобожденный
 эва  Z безусловно
 сах  Z тот
бхоктарам  Z того, кто наслаждается
 йаджна  Z жертвоприношений
 тапасам  Z обетов и подвижничества
 сарва-лока  Z всех планет и повелевающих ими полубогов
 маха-ишварам  Z Верховного Повелителя
 су-хридам  Z благодетеля
 сарва  Z всех
 бхутанам  Z живых существ
 джнатва  Z постигнув
 мам  Z Меня (Господа Кришну)
 шантим  Z свободу от материальных страданий
 риччхати  Z  обретает
шри-бхагаван увача  Z Господь сказал
 анашритах  Z тот, кто не ищет прибежища
 карма-пхалам  Z в плодах своего труда
 карйам  Z  тот, который следует делать
 карма  Z труд
 кароти  Z выполняет
 йах  Z который
 сах  Z он
 саннйаси  Z живущий в отречении от мира
 ча  Z также
 йоги  Z Йог
 ча  Z также
 на  Z не
 них  Z без
 агних  Z  огня
 на  Z ни
 ча  Z также
 акрийах  Z не исполняющий свой долг
йам  Z которое
 саннйасам  Z отречение
 ити  Z так
 прахух  Z называют
 йогам  Z воссоединение со Всевышним
 там  Z то
 виддхи  Z знай
 пандава  Z о сын Панду
 на  Z не
 хи  Z безусловно
 асаннйаста  Z не освобожден
 санкалпах  Z от стремления к удовлетворению собственных чувств
 йоги  Z йог-мистик
 бхавати  Z становится
 кашчана  Z любой
арурукшох  Z тот, кто только начал заниматься йогой
 мунех  Z  мудреца
 йогам  Z восьмиступенчатая йога
 карма  Z деятельность
 каранам  Z средство
 учйате  Z называется
 йога  Z восьмиступенчатой йоги
 арудхасйа  Z того, кто достиг
 тасйа  Z его
 эва  Z безусловно
 шамах  Z прекращение всякой материальной деятельности
 каранам  Z средство
 учйате  Z называется
йада  Z когда
 хи  Z безусловно
 на  Z не
 индрийа-артхешу  Z в чувственных удовольствиях
 на  Z не
 кармасу  Z в кармической деятельности
 анушаджджате  Z занимается вынужденно
 сарва-санкалпа  Z от всех материальных желаний
 саннйаси  Z отрекшийся
 йога-арудхах  Z достигший совершенства йоги
 тада  Z тогда
 учйате  Z называется
уддхарет  Z пусть освободит
 атмана  Z умом
 атманам  Z обусловленную душу
 на  Z не
 атманам  Z обусловленную душу
 авасадайет  Z вынуждает деградировать
 Атма  Z ум
 эва  Z ведь
 хи  Z  поистине
 атманах  Z обусловленной души
 бандхух  Z друг
 атма  Z ум
 эва  Z безусловно
 рипух  Z враг
 атманах  Z обусловленной души
бандхух  Z друг
 атма  Z ум
 атманах  Z живого существа
 тасйа  Z его
 йена  Z которым
 атма  Z ум
 эва  Z безусловно
 атмана  Z живым существом
 джитах  Z обузданный
 анатманах  Z для того, кому не удалось обуздать свой ум
 ту  Z но
 шатрутве  Z из-за враждебности
 вартета  Z останется
 атма эва  Z тот же самый ум
 шатру-ват  Z подобно врагу
джита-атманах  Z того, чей ум побежден
 прашантасйа  Z того, кто, обуздав ум, обрел умиротворение
 парама-атма  Z Сверхдуша
 самахитах  Z достигнута
 шита  Z в холод
 ушна  Z жару
 сукха  Z  в счастье
 духкхешу  Z и в горе
 татха  Z также
 мана  Z в почете
 апаманайох  Z и бесчестье
джнана  Z благодаря знанию
 виджнана  Z и духовному опыту
 трипта  Z удовлетворенное
 атма  Z живое существо
 кута-стхахЕ  Z достигшее вершины (самоосознания)
 виджита-индрийах  Z тот, чьи чувства обузданы
 йуктах  Z готовое осознать свое истинное «Я»
 ити  Z таким образом
 учйате  Z говорится
 йоги  Z йог-мистик
 сама  Z одинаково (относящийся)
 лоштра  Z к гальке
 ашма  Z  к камню
 канчанах  Z к золоту
су-хрит  Z к тем, кто по природе своей желает другим добра
 митра  Z к отзывчивым благодетелям
 ари  Z к врагам
 удасина  Z  к сторонним наблюдателям
 мадхйа-стха  Z к посредникам
 двешйа  Z к завистникам
 бандхушу  Z к родственникам или доброжелателям
 садхушу  Z к праведникам
 апи  Z даже
 ча  Z и
 папешу  Z  к грешникам
 сама-буддхих  Z тот, кто ко всем относится одинаково
 вишишйате  Z превосходит
йоги  Z йог
 йунджита  Z пусть действует в сознании Кришны
 сататам  Z постоянно
 атманам  Z сам (своим телом, умом и душой)
 рахаси  Z в уединенном месте
 стхитах  Z находящийся
 экаки  Z одинокий
 йата-читта-атма  Z тот, у кого ум под контролем
 нираших  Z не испытывающий влечения к чему-либо другому
 апариграхах  Z освободившийся от собственнических чувств
шучау  Z в чистом
 деше  Z месте
 пратиштхапйа  Z установив
 стхирам  Z жесткое
 асанам  Z сиденье
 атманах  Z свое
 на  Z не
 ати  Z слишком
 уччхритам  Z высокое
 на  Z не
 ати  Z слишком
 ничам  Z низкое
 чаила-аджина  Z мягкой тканью и оленьей шкурой
 Куша  Z и травой куша
 уттарам  Z покрытое
 татра  Z там
 эка-аграм  Z сосредоточенный
 манах  Z ум
 критва  Z сделав
 йата-читта  Z контролируемый ум
 индрийа  Z чувства
 крийах  Z тот, чья деятельность
 упавишйа  Z усевшись
 асане  Z на сиденье
 йунджйат  Z пусть занимается
 йогам  Z йогой
 атма  Z сеџрдца
 вишуддхайе  Z для очищения
самам  Z прямо
 кайа  Z корпус
 ширах  Z голову
 гривам  Z и шею
 дхарайан  Z держащий
